Temp(C);Modulus 0,1;Modulus 1;Modulus 10;Loss Modulus 0,1;Loss Modulus 1;Loss Modulus 10;Tan Delta 0,1;Tan Delta 1;Tan Delta 10
137.608333333333;1632564.22837258;2489200.3900073;5910802.9039958;639148.746236845;1723613.27706087;7753441.25996358;0.391499908627778;0.692436528605803;1.311740788163
142.358333333333;1453413.65361741;2018563.41541096;4148322.53784644;531646.102849787;1088273.09763814;4353436.28930786;0.365791322743233;0.539132478736902;1.04944498639874
147.129166666667;1302053.60025792;1921096.60142244;3081931.68940816;439409.201883159;818616.925258761;2618392.42398883;0.337473973265093;0.426119605152927;0.849594568558284
151.691666666667;1063113.59367856;1678750.68044105;2451347.42116187;345632.605123015;517124.848267389;1654233.24845442;0.325113522372585;0.308041482450227;0.674826111620833
156.145833333333;895005.225288929;1403645.70309528;2101024.48542577;325244.594467974;453464.28324309;1169592.71355826;0.363399659887993;0.323061782786871;0.556677336066952
160.529166666667;866447.803121648;1244586.8624243;1797363.92236698;378134.821712387;402782.225980757;807177.473909911;0.436419620835829;0.323627251854635;0.449089616112314
165.066666666667;705513.309661784;1111082.50787077;1599930.95356637;362918.979265615;388050.178155042;607361.678163745;0.514404156938719;0.349254151159922;0.379617430870932
169.675;505775.554860852;969506.914636476;1466136.16117588;238136.326272256;341855.47001902;471028.800894984;0.470833997380066;0.352607562522853;0.321272207430725
173.833333333333;413098.242903284;865511.548613762;1300246.74378298;234599.355237623;336259.023353294;497722.514773212;0.567902089316193;0.388508996664296;0.382790818091281
178.270833333333;318030.210496156;754307.639094969;1282943.0704794;221087.049406364;308566.049553382;470191.718306365;0.695176250902228;0.409071887331812;0.366494608471339
182.891666666667;241524.642941626;632313.019470736;1172166.90516764;195811.354259726;308569.236873638;376131.453562151;0.810730333248237;0.488000764450365;0.320885576878113
187.325;223932.564570398;546635.274249376;1043457.51228251;225900.759038028;292034.966601264;347447.008758695;1.00878922845102;0.534240983628943;0.332976670989385
191.8875;207285.417343009;481216.043449666;1012780.42881431;200723.307202725;280874.783021834;296332.866340326;0.968342634882871;0.583677096483198;0.29259339725517
196.3875;89946.5686626987;409448.814347207;901289.413239697;89442.8037213116;271709.006775332;356497.52741029;0.994399286722363;0.663597004691595;0.39554167859229
