Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
71.575;1850021477.74701;2000781235.033;2224056413.16492;165775276.577137;149741974.297506;141468246.921889;0.0896072173059424;0.0748417526492024;0.0636082097938218
75.1666666666667;1761871930.993;1922253876.01472;2136743692.63168;147291528.920473;143251821.142933;147963175.719602;0.0835994525648971;0.0745228416133705;0.0692470398905756
79.325;1682415204.11882;1820249942.80994;2015903162.95207;151515486.311856;144808449.542053;146768275.046587;0.090058319694759;0.0795541568969974;0.0728052208776047
83.6583333333333;1584145986.92678;1716926682.13833;1911930090.93082;153674675.323526;135797716.771629;146498166.974088;0.0970078998979456;0.0790934861601089;0.076623181814543
87.6083333333333;1497515230.5711;1632185794.33244;1822405079.39361;143352541.076626;132709253.791938;137706100.621912;0.0957269336232105;0.0813076882869304;0.0755628384594565
91.65;1417669901.98533;1562986796.18117;1735500663.08937;147010559.966876;133516494.828018;136296229.690753;0.103698724054873;0.0854239428984542;0.0785342423598574
95.5416666666667;1349635861.74434;1473430815.16837;1636358784.63138;124068076.390582;118253455.649019;125420791.266465;0.0919270744852837;0.0802572163087996;0.0766462663594393
99.6541666666667;1205317119.10101;1379696368.6493;1554850410.67664;138178716.43539;126520291.985462;119062635.582069;0.114640963980044;0.0917015474276581;0.0765749777370905
103.6125;1149726814.76393;1279949199.68456;1445521141.88675;162661896.683475;135290543.690934;128177223.057079;0.141478736161228;0.105699932250652;0.0886719808814258
107.533333333333;986310394.053594;1140569622.89015;1326265405.80336;189800190.492222;151601816.582087;133263204.243147;0.192434543564091;0.132917634784919;0.100480042425916
